listing_id,source,source_listing_id,city,neighborhood,region,latitude,longitude,surface_m2,bedrooms,bathrooms,furnished_status,parking,balcony,sea_view,price_mad,price_per_m2,property_type,transaction_type,publication_date,publication_date_status,scraped_at,url,validation_status,validation_reasons,deduplication_status,duplicate_of,title_raw,price_raw,location_raw,details_raw,source_record_path
mubawab.ma:native:8367900,mubawab.ma,8367900,Marrakech,Guéliz,Marrakech-Safi,,,95.0,2.0,2.0,furnished,yes,yes,unknown,2000000.0,21052.63,appartement,sale,,unknown,Wed Sep 02 2026 17:39:57 GMT+0100 (UTC+01:00),https://www.mubawab.ma/fr/a/8367900/superbe-appartement-%C3%A0-vendre-%C3%A0-gu%C3%A9liz-surface-de-95-m%C2%B2-ascenseur,valid,,unique,,,,,,data\external\recovery_archive\20260902T224619Z\misplaced_notebook_data\data\raw\maisondelux_raw.csv
mubawab.ma:content:ac5610ee04b03b29f94e8e1e,mubawab.ma,,Casablanca,Hay Al Fadl,Casablanca-Settat,,,116.0,3.0,2.0,unknown,unknown,unknown,unknown,1200000.0,10344.83,appartement,sale,,unknown,Fri Aug 14 2026 16:31:10 GMT+0100 (UTC+01:00),,valid,,unique,,"Appartement à vendre 116 m², 3 chambres Hay Al Fadl Casablan...",1 200 000 DH,"Hay Al Fadl, Casablanca",116 m² 3 Chambres 2 Salles de bains,git:HEAD:data/raw/maisonlux_maroc_complet.csv
mubawab.ma:content:05179c7fa05a64b8e3438a06,mubawab.ma,,Casablanca,Gauthier,Casablanca-Settat,,,217.0,3.0,3.0,unknown,unknown,unknown,unknown,3500000.0,16129.03,appartement,sale,,unknown,Fri Aug 14 2026 16:31:10 GMT+0100 (UTC+01:00),,valid,,unique,,"Appartement à Vendre de 217.0 m² à Casablanca, Gauthier",3 500 000 DH,"Gauthier, Casablanca",217 m² 5 Pièces 3 Chambres 3 Salles de bains,git:HEAD:data/raw/maisonlux_maroc_complet.csv
mubawab.ma:content:8810f6d50c6a91ca4e72ef1d,mubawab.ma,,Rabat,Haut Agdal,Rabat-Salé-Kenitra,,,226.0,3.0,2.0,unknown,unknown,unknown,unknown,6450000.0,28539.82,appartement,sale,,unknown,Fri Aug 14 2026 16:31:10 GMT+0100 (UTC+01:00),,valid,,unique,,Vente appartement à Rabat Haut Agdal,6 450 000 DH,"Haut Agdal, Rabat",226 m² 5 Pièces 3 Chambres 2 Salles de bains,git:HEAD:data/raw/maisonlux_maroc_complet.csv
mubawab.ma:content:ec9f70e66e65edf869e0b529,mubawab.ma,,Tanger,Marjane,Tangier-Tetouan-Al Hoceima,,,83.0,2.0,2.0,unknown,unknown,unknown,unknown,1450000.0,17469.88,appartement,sale,,unknown,Fri Aug 14 2026 16:31:10 GMT+0100 (UTC+01:00),,valid,,unique,,Opportunité unique – Route rabat Tanger,1 450 000 DH,"Marjane, Tanger",83 m² 3 Pièces 2 Chambres 2 Salles de bains,git:HEAD:data/raw/maisonlux_maroc_complet.csv
mubawab.ma:content:c3f4c4a445bbc31cbb7b3620,mubawab.ma,,Casablanca,Al Madina Aljadida,Casablanca-Settat,,,44.0,1.0,1.0,unknown,unknown,unknown,unknown,900000.0,20454.55,appartement,sale,,unknown,Fri Aug 14 2026 16:31:10 GMT+0100 (UTC+01:00),,valid,,unique,,Vente Appartement à Zenata,900 000 DH,"Al Madina Aljadida, Casablanca",44 m² 2 Pièces 1 Ch. 1 Salle de bain,git:HEAD:data/raw/maisonlux_maroc_complet.csv
mubawab.ma:content:c0981695a87296088a91e426,mubawab.ma,,Casablanca,Ain Diab Extension,Casablanca-Settat,,,223.0,3.0,2.0,unknown,unknown,unknown,unknown,3110000.0,13946.19,appartement,sale,,unknown,Fri Aug 14 2026 16:31:10 GMT+0100 (UTC+01:00),,valid,,unique,,Vente d'un bel appartement à Ain Diab Extension. 3 pièces co...,3 110 000 DH,"Ain Diab Extension, Casablanca",223 m² 4 Pièces 3 Chambres 2 Salles de bains,git:HEAD:data/raw/maisonlux_maroc_complet.csv
mubawab.ma:content:27e99a7b0384e4b3f776ac9c,mubawab.ma,,Casablanca,Racine,Casablanca-Settat,,,115.0,2.0,2.0,unknown,unknown,unknown,unknown,2700000.0,23478.26,appartement,sale,,unknown,Fri Aug 14 2026 16:31:10 GMT+0100 (UTC+01:00),,valid,,unique,,Appartement en vente sur racine,2 700 000 DH,"Racine, Casablanca",115 m² 3 Pièces 2 Chambres 2 Salles de bains,git:HEAD:data/raw/maisonlux_maroc_complet.csv
mubawab.ma:content:31fef9ca973df5d4db10e365,mubawab.ma,,Casablanca,Racine,Casablanca-Settat,,,175.0,3.0,2.0,unknown,unknown,unknown,unknown,3300000.0,18857.14,appartement,sale,,unknown,Fri Aug 14 2026 16:31:10 GMT+0100 (UTC+01:00),,valid,,unique,,Appartement a vendre Racine,3 300 000 DH,"Racine, Casablanca",175 m² 5 Pièces 3 Chambres 2 Salles de bains,git:HEAD:data/raw/maisonlux_maroc_complet.csv
mubawab.ma:content:07c08b53f24d988a52118a86,mubawab.ma,,Berrechid,Berrechid,Casablanca-Settat,,,121.0,3.0,2.0,unknown,unknown,unknown,unknown,720000.0,5950.41,appartement,sale,,unknown,Fri Aug 14 2026 16:31:10 GMT+0100 (UTC+01:00),,valid,,unique,,Vente appartement Nassr Allah Berrechid,720 000 DH,"Berrechid, Berrechid",121 m² 4 Pièces 3 Chambres 2 Salles de bains,git:HEAD:data/raw/maisonlux_maroc_complet.csv
