duplicate_group_id,duplicate_status_repaired,duplicate_match_level,duplicate_keep,listing_id,source,source_listing_id,url,city,neighborhood_clean,surface_m2,price_mad,bedrooms,bathrooms,title_raw,source_record_path
confirmed-090940a925a4,unique,C_exact_fingerprint_and_title_cross_batch,True,mubawab.ma:native:8143761,mubawab.ma,8143761.0,https://www.mubawab.ma/fr/a/8143761/vente-appartement-rabat-agdal,Rabat,Haut Agdal,198.0,3350000.0,3.0,2.0,Vente Appartement Rabat Agdal,data\external\recovery_archive\20260902T224619Z\dangling_v3_tree_87e06eeb\data\raw\maisonlux_scrapy_v3.csv
confirmed-090940a925a4,confirmed_duplicate,C_exact_fingerprint_and_title_cross_batch,False,mubawab.ma:content:3fdad4ac01691d88dacba045,mubawab.ma,,,Rabat,Haut Agdal,198.0,3350000.0,3.0,2.0,Vente Appartement Rabat Agdal,git:HEAD:data/raw/maisonlux_maroc_complet.csv
confirmed-1e4cb27e8ea5,unique,C_exact_fingerprint_and_title_cross_batch,True,mubawab.ma:native:8258601,mubawab.ma,8258601.0,https://www.mubawab.ma/fr/a/8258601/appartement-%C3%A0-vendre-les-princesses,Casablanca,Les princesses,184.0,2500000.0,3.0,3.0,Appartement à vendre Les princesses,data\external\recovery_archive\20260902T224619Z\dangling_v3_tree_87e06eeb\data\raw\maisonlux_scrapy_v3.csv
confirmed-1e4cb27e8ea5,confirmed_duplicate,C_exact_fingerprint_and_title_cross_batch,False,mubawab.ma:content:fd07f6fe566e885026caa2cc,mubawab.ma,,,Casablanca,Les princesses,184.0,2500000.0,3.0,3.0,Appartement à vendre Les princesses,git:HEAD:data/raw/maisonlux_maroc_complet.csv
confirmed-2069b8605973,unique,C_exact_fingerprint_and_title_cross_batch,True,mubawab.ma:native:7855576,mubawab.ma,7855576.0,https://www.mubawab.ma/fr/a/7855576/vente-appartement-rabat-haut-agdal,Rabat,Agdal,235.0,5500000.0,3.0,2.0,Vente Appartement Rabat Haut Agdal,data\external\recovery_archive\20260902T224619Z\dangling_v3_tree_87e06eeb\data\raw\maisonlux_scrapy_v3.csv
confirmed-2069b8605973,confirmed_duplicate,C_exact_fingerprint_and_title_cross_batch,False,mubawab.ma:content:6d1ef2a5ed060bc67bb0264a,mubawab.ma,,,Rabat,Agdal,235.0,5500000.0,3.0,2.0,Vente Appartement Rabat Haut Agdal,git:HEAD:data/raw/maisonlux_maroc_complet.csv
confirmed-22f515c2cfcf,unique,C_exact_fingerprint_and_title_cross_batch,True,mubawab.ma:native:8159701,mubawab.ma,8159701.0,https://www.mubawab.ma/fr/a/8159701/vente-appartement-hay-riad-rabat,Rabat,Riyad,201.0,4500000.0,3.0,2.0,Vente Appartement Hay Riad Rabat,data\external\recovery_archive\20260902T224619Z\dangling_v3_tree_87e06eeb\data\raw\maisonlux_scrapy_v3.csv
confirmed-22f515c2cfcf,confirmed_duplicate,C_exact_fingerprint_and_title_cross_batch,False,mubawab.ma:content:821e56477568c070f9552ecc,mubawab.ma,,,Rabat,Riyad,201.0,4500000.0,3.0,2.0,Vente Appartement Hay Riad Rabat,git:HEAD:data/raw/maisonlux_maroc_complet.csv
confirmed-34b37fcd2bc3,unique,C_exact_fingerprint_and_title_cross_batch,True,mubawab.ma:native:8111061,mubawab.ma,8111061.0,https://www.mubawab.ma/fr/a/8111061/vente-appartement-rabat-bas-agdal,Rabat,Agdal,300.0,3500000.0,3.0,2.0,Vente Appartement Rabat Bas Agdal,data\external\recovery_archive\20260902T224619Z\dangling_v3_tree_87e06eeb\data\raw\maisonlux_scrapy_v3.csv
confirmed-34b37fcd2bc3,confirmed_duplicate,C_exact_fingerprint_and_title_cross_batch,False,mubawab.ma:content:fff319d18c7ea2e2fd8d9466,mubawab.ma,,,Rabat,Agdal,300.0,3500000.0,3.0,2.0,Vente Appartement Rabat Bas Agdal,git:HEAD:data/raw/maisonlux_maroc_complet.csv
