listing_id,repair_exclusion_reason,duplicate_group_id,outlier_decision,outlier_reasons,source_record_path,city,property_type_repaired,surface_m2,price_mad,price_per_m2,title_raw,price_raw,url
mubawab.ma:native:7758670,probable_parsing_error,,probable_error,price_above_p99|price_per_m2_above_reference_p99|suspicious_batch_high_price_per_m2,data\external\recovery_archive\20260902T224619Z\misplaced_notebook_data\data\raw\maisondelux_raw.csv,Larache,appartement,100.0,12450000.0,124500.0,,,https://www.mubawab.ma/fr/a/7758670/appartement-%C3%A0-vendre-%C3%A0-larache-2-chambres-agr%C3%A9ables-
mubawab.ma:native:7772397,probable_parsing_error,,probable_error,price_above_p99|price_per_m2_above_reference_p99|suspicious_batch_high_price_per_m2,data\external\recovery_archive\20260902T224619Z\misplaced_notebook_data\data\raw\maisondelux_raw.csv,Tanger,appartement,90.0,11200000.0,124444.44,,,https://www.mubawab.ma/fr/a/7772397/appartements-de-standing-%C3%A0-vendre-%C3%A0-tanja-balia-tanger
mubawab.ma:native:7777660,probable_parsing_error,,probable_error,price_per_m2_above_reference_p99|suspicious_batch_high_price_per_m2,data\external\recovery_archive\20260902T224619Z\misplaced_notebook_data\data\raw\maisondelux_raw.csv,Casablanca,appartement,85.0,6900000.0,81176.47,,,https://www.mubawab.ma/fr/a/7777660/appartement-%C3%A0-vendre-plein-centre-maarif
mubawab.ma:native:7800150,probable_parsing_error,,probable_error,price_per_m2_above_reference_p99|suspicious_batch_high_price_per_m2,data\external\recovery_archive\20260902T224619Z\misplaced_notebook_data\data\raw\maisondelux_raw.csv,Casablanca,unknown,78.0,8960000.0,114871.79,,,https://www.mubawab.ma/fr/a/7800150/%C3%A0-beaus%C3%A9jour-sublime-apprt-%C3%A0-vendre
mubawab.ma:native:7815373,probable_parsing_error,,probable_error,price_per_m2_above_reference_p99|suspicious_batch_high_price_per_m2,data\external\recovery_archive\20260902T224619Z\misplaced_notebook_data\data\raw\maisondelux_raw.csv,Casablanca,appartement,91.0,9780000.0,107472.53,,,https://www.mubawab.ma/fr/a/7815373/vente-appartement-de-91m2-%C3%A0-oulfa
mubawab.ma:native:7861248,probable_parsing_error,,probable_error,price_per_m2_above_reference_p99|suspicious_batch_high_price_per_m2,data\external\recovery_archive\20260902T224619Z\misplaced_notebook_data\data\raw\maisondelux_raw.csv,Marrakech,appartement,90.0,10580000.0,117555.56,,,https://www.mubawab.ma/fr/a/7861248/vend-appartement-%C3%A0-les-portes-de-marrakech-3-chambres-bien-meubl%C3%A9
mubawab.ma:native:7973804,probable_parsing_error,,probable_error,price_per_m2_above_reference_p99|suspicious_batch_high_price_per_m2,data\external\recovery_archive\20260902T224619Z\misplaced_notebook_data\data\raw\maisondelux_raw.csv,El Jadida,appartement,82.0,8640000.0,105365.85,,,https://www.mubawab.ma/fr/a/7973804/appartement-%C3%A0-vendre-82-m%C2%B2-%C3%A0-el-jadida
mubawab.ma:native:8007377,probable_parsing_error,,probable_error,price_per_m2_above_reference_p99|suspicious_batch_high_price_per_m2,data\external\recovery_archive\20260902T224619Z\misplaced_notebook_data\data\raw\maisondelux_raw.csv,Casablanca,appartement,57.0,8430000.0,147894.74,,,https://www.mubawab.ma/fr/a/8007377/appart-%C3%A0-vendre-%C3%A0-a%C3%AFn-seba%C3%A0-%D8%B4%D9%82%D8%A9-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D8%A8%D8%B9%D9%8A%D9%86-%D8%A7%D9%84%D8%B3%D8%A8%D8%B9
mubawab.ma:native:8092398,probable_parsing_error,possible-21c1bba1a37f,probable_error,price_above_p99|price_per_m2_above_reference_p99|suspicious_batch_high_price_per_m2,data\external\recovery_archive\20260902T224619Z\misplaced_notebook_data\data\raw\maisondelux_raw.csv,Casablanca,appartement,145.0,11500000.0,79310.34,,,https://www.mubawab.ma/fr/a/8092398/appartement-%C3%A0-vendre-%C3%A0-belv%C3%A9d%C3%A8re-surface-de-145-m%C2%B2-porte-blind%C3%A9e-salon-marocain
mubawab.ma:native:8108092,probable_parsing_error,,probable_error,price_per_m2_above_reference_p99|suspicious_batch_high_price_per_m2,data\external\recovery_archive\20260902T224619Z\misplaced_notebook_data\data\raw\maisondelux_raw.csv,Casablanca,appartement,40.0,5960000.0,149000.0,,,https://www.mubawab.ma/fr/a/8108092/bel-appartement-%C3%A0-vendre-%C3%A0-moulay-youssef-2-pi%C3%A8ces-confortables-avec-ascenseur
mubawab.ma:native:8110295,probable_parsing_error,,probable_error,price_per_m2_above_reference_p99|suspicious_batch_high_price_per_m2,data\external\recovery_archive\20260902T224619Z\misplaced_notebook_data\data\raw\maisondelux_raw.csv,El Jadida,appartement,80.0,10630000.0,132875.0,,,https://www.mubawab.ma/fr/a/8110295/vente-appartement-%C3%A0-el-jadida
mubawab.ma:native:8119411,probable_parsing_error,,probable_error,price_per_m2_above_reference_p99|suspicious_batch_high_price_per_m2,data\external\recovery_archive\20260902T224619Z\misplaced_notebook_data\data\raw\maisondelux_raw.csv,Larache,appartement,70.0,9490000.0,135571.43,,,https://www.mubawab.ma/fr/a/8119411/beautiful-2-bedroom-apartment-for-sale-in-larache
mubawab.ma:native:8120042,probable_parsing_error,,probable_error,price_above_p99|price_per_m2_above_reference_p99|suspicious_batch_high_price_per_m2,data\external\recovery_archive\20260902T224619Z\misplaced_notebook_data\data\raw\maisondelux_raw.csv,Agadir,unknown,89.0,11860000.0,133258.43,,,https://www.mubawab.ma/fr/a/8120042/%C3%A0-vendre-1-%C3%A9tage-moiti%C3%A9-terrasse-%C3%A0-anza-taddart
mubawab.ma:native:8122822,probable_parsing_error,,probable_error,price_per_m2_above_reference_p99|suspicious_batch_high_price_per_m2,data\external\recovery_archive\20260902T224619Z\misplaced_notebook_data\data\raw\maisondelux_raw.csv,Casablanca,appartement,80.0,8760000.0,109500.0,,,https://www.mubawab.ma/fr/a/8122822/superbe-appartement-a-hay-adil-enti%C3%A8rement-r%C3%A9nov%C3%A9
mubawab.ma:native:8135484,probable_parsing_error,,probable_error,price_per_m2_above_reference_p99|suspicious_batch_high_price_per_m2,data\external\recovery_archive\20260902T224619Z\misplaced_notebook_data\data\raw\maisondelux_raw.csv,El Jadida,appartement,105.0,10650000.0,101428.57,,,https://www.mubawab.ma/fr/a/8135484/appartement-de-105-m%C2%B2-en-centre-ville
mubawab.ma:native:8138511,probable_parsing_error,,probable_error,price_per_m2_above_reference_p99|suspicious_batch_high_price_per_m2,data\external\recovery_archive\20260902T224619Z\misplaced_notebook_data\data\raw\maisondelux_raw.csv,El Jadida,appartement,110.0,10880000.0,98909.09,,,https://www.mubawab.ma/fr/a/8138511/appartement-centre-el-jadida-%C3%A0-5-min-de-la-plage
mubawab.ma:native:8149102,probable_parsing_error,,probable_error,price_per_m2_above_reference_p99|suspicious_batch_high_price_per_m2,data\external\recovery_archive\20260902T224619Z\misplaced_notebook_data\data\raw\maisondelux_raw.csv,Marrakech,appartement,63.0,7720000.0,122539.68,,,https://www.mubawab.ma/fr/a/8149102/appartement-3-chambres-%C3%A0-vendre-%C3%A0-targa-%E2%80%93-63-m%C2%B2
mubawab.ma:native:8160308,probable_parsing_error,,probable_error,price_per_m2_above_reference_p99|suspicious_batch_high_price_per_m2,data\external\recovery_archive\20260902T224619Z\misplaced_notebook_data\data\raw\maisondelux_raw.csv,Agadir,unknown,60.0,6850000.0,114166.67,,,https://www.mubawab.ma/fr/a/8160308/t3-titr%C3%A9-quartier-hay-mohammadi
mubawab.ma:native:8177373,probable_parsing_error,,probable_error,price_above_p99|price_per_m2_above_reference_p99|suspicious_batch_high_price_per_m2,data\external\recovery_archive\20260902T224619Z\misplaced_notebook_data\data\raw\maisondelux_raw.csv,Berrechid,appartement,91.0,12510000.0,137472.53,,,https://www.mubawab.ma/fr/a/8177373/appartement-spacieux
mubawab.ma:native:8178957,probable_parsing_error,,probable_error,price_per_m2_above_reference_p99|suspicious_batch_high_price_per_m2,data\external\recovery_archive\20260902T224619Z\misplaced_notebook_data\data\raw\maisondelux_raw.csv,Agadir,appartement,54.0,6600000.0,122222.22,,,https://www.mubawab.ma/fr/a/8178957/appartement-en-vente-%C3%A0-cit%C3%A9-adrar-3-pi%C3%A8ces-confortables-meubl%C3%A9
mubawab.ma:native:8187848,probable_parsing_error,,probable_error,price_above_p99|price_per_m2_above_reference_p99|suspicious_batch_high_price_per_m2,data\external\recovery_archive\20260902T224619Z\misplaced_notebook_data\data\raw\maisondelux_raw.csv,Casablanca,appartement,100.0,14939800.0,149398.0,,,https://www.mubawab.ma/fr/a/8187848/vente-appartement-100m2-roches-noires
mubawab.ma:native:8188319,probable_parsing_error,,probable_error,price_above_p99|price_per_m2_above_reference_p99|suspicious_batch_high_price_per_m2,data\external\recovery_archive\20260902T224619Z\misplaced_notebook_data\data\raw\maisondelux_raw.csv,El Jadida,appartement,125.0,11800000.0,94400.0,,,https://www.mubawab.ma/fr/a/8188319/vente-d-un-bel-appartement-%C3%A0-narjiss-3-chambres-four
mubawab.ma:native:8205696,probable_parsing_error,,probable_error,price_per_m2_above_reference_p99|suspicious_batch_high_price_per_m2,data\external\recovery_archive\20260902T224619Z\misplaced_notebook_data\data\raw\maisondelux_raw.csv,Berrechid,appartement,88.0,10530000.0,119659.09,,,https://www.mubawab.ma/fr/a/8205696/appartement-a-vendre-omnia-berrchid-%D8%B4%D9%82%D9%82-%D9%84%D9%84%D8%A8%D9%8A%D8%B9
