listing_id,outlier_decision,outlier_reasons,batch_id,property_type_repaired,city,surface_m2,price_mad,price_per_m2,bedrooms,bathrooms,title_raw,price_raw,url
mubawab.ma:native:8318564,valid_extreme,price_per_m2_above_reference_p99,recovery_dangling_v3,unknown,Rabat,156.0,7000000.0,44871.79,3.0,2.0,"Penthouse meublé à vendre – l’Orangeraie Souissi, Rabat",7000000.0 MAD,https://www.mubawab.ma/fr/a/8318564/penthouse-meubl%C3%A9-%C3%A0-vendre-%E2%80%93-l%E2%80%99orangeraie-souissi-rabat
mubawab.ma:native:7427225,uncertain,price_per_m2_above_reference_p99,recovery_misplaced_notebook,appartement,El Jadida,94.0,5560000.0,59148.94,2.0,1.0,,,https://www.mubawab.ma/fr/a/7427225/appartement-c%C5%93ur-de-ville-d%E2%80%99el-jadida
mubawab.ma:native:7720730,valid_extreme,price_above_p99|price_per_m2_above_reference_p99,recovery_misplaced_notebook,unknown,Casablanca,231.0,13500000.0,58441.56,3.0,3.0,,,https://www.mubawab.ma/fr/a/7720730/beau-dupleix-racine-immeuble-standing
mubawab.ma:native:7728790,uncertain,price_per_m2_above_reference_p99,recovery_misplaced_notebook,appartement,Berrechid,113.0,7550000.0,66814.16,3.0,2.0,,,https://www.mubawab.ma/fr/a/7728790/grand-appartement-%C3%A0-vendre-%C3%A0-berrechid
mubawab.ma:native:7758670,probable_error,price_above_p99|price_per_m2_above_reference_p99|suspicious_batch_high_price_per_m2,recovery_misplaced_notebook,appartement,Larache,100.0,12450000.0,124500.0,2.0,1.0,,,https://www.mubawab.ma/fr/a/7758670/appartement-%C3%A0-vendre-%C3%A0-larache-2-chambres-agr%C3%A9ables-
mubawab.ma:native:7771091,valid_extreme,surface_extreme,recovery_misplaced_notebook,villa,Casablanca,660.0,6600000.0,10000.0,3.0,3.0,,,https://www.mubawab.ma/fr/a/7771091/villa-%C3%A0-vendre-%C3%A0-lot-marjana-sidi-maarouf
mubawab.ma:native:7772397,probable_error,price_above_p99|price_per_m2_above_reference_p99|suspicious_batch_high_price_per_m2,recovery_misplaced_notebook,appartement,Tanger,90.0,11200000.0,124444.44,2.0,2.0,,,https://www.mubawab.ma/fr/a/7772397/appartements-de-standing-%C3%A0-vendre-%C3%A0-tanja-balia-tanger
mubawab.ma:native:7777660,probable_error,price_per_m2_above_reference_p99|suspicious_batch_high_price_per_m2,recovery_misplaced_notebook,appartement,Casablanca,85.0,6900000.0,81176.47,2.0,1.0,,,https://www.mubawab.ma/fr/a/7777660/appartement-%C3%A0-vendre-plein-centre-maarif
mubawab.ma:native:7800150,probable_error,price_per_m2_above_reference_p99|suspicious_batch_high_price_per_m2,recovery_misplaced_notebook,unknown,Casablanca,78.0,8960000.0,114871.79,2.0,1.0,,,https://www.mubawab.ma/fr/a/7800150/%C3%A0-beaus%C3%A9jour-sublime-apprt-%C3%A0-vendre
mubawab.ma:native:7805399,uncertain,price_above_p99|price_per_m2_above_reference_p99,recovery_misplaced_notebook,appartement,Tanger,130.0,12470000.0,95923.08,3.0,2.0,,,https://www.mubawab.ma/fr/a/7805399/appartements-haut-standing-%C3%A0-malabata-tanger
mubawab.ma:native:7809027,uncertain,price_per_m2_above_reference_p99,recovery_misplaced_notebook,appartement,Casablanca,81.0,4850000.0,59876.54,2.0,1.0,,,https://www.mubawab.ma/fr/a/7809027/bel-appartement-%C3%A0-vendre-%C3%A0-sidi-maarouf
mubawab.ma:native:7815373,probable_error,price_per_m2_above_reference_p99|suspicious_batch_high_price_per_m2,recovery_misplaced_notebook,appartement,Casablanca,91.0,9780000.0,107472.53,2.0,1.0,,,https://www.mubawab.ma/fr/a/7815373/vente-appartement-de-91m2-%C3%A0-oulfa
mubawab.ma:native:7817604,uncertain,surface_extreme,recovery_misplaced_notebook,appartement,Casablanca,729.0,8900000.0,12208.5,5.0,5.0,,,https://www.mubawab.ma/fr/a/7817604/appartement-%C3%A0-l-achat-%C3%A0-racine-5-chambres-terrasse-et-ascenseur
mubawab.ma:native:7861248,probable_error,price_per_m2_above_reference_p99|suspicious_batch_high_price_per_m2,recovery_misplaced_notebook,appartement,Marrakech,90.0,10580000.0,117555.56,3.0,2.0,,,https://www.mubawab.ma/fr/a/7861248/vend-appartement-%C3%A0-les-portes-de-marrakech-3-chambres-bien-meubl%C3%A9
mubawab.ma:native:7973804,probable_error,price_per_m2_above_reference_p99|suspicious_batch_high_price_per_m2,recovery_misplaced_notebook,appartement,El Jadida,82.0,8640000.0,105365.85,2.0,1.0,,,https://www.mubawab.ma/fr/a/7973804/appartement-%C3%A0-vendre-82-m%C2%B2-%C3%A0-el-jadida
mubawab.ma:native:7983114,uncertain,surface_extreme,recovery_misplaced_notebook,appartement,Casablanca,717.0,3600000.0,5020.92,4.0,4.0,,,https://www.mubawab.ma/fr/a/7983114/bel-appartement-racine-%C3%A9tage-%C3%A9lev%C3%A9
mubawab.ma:native:7988330,uncertain,price_per_m2_above_reference_p99,recovery_misplaced_notebook,appartement,Agadir,64.0,2650000.0,41406.25,2.0,1.0,,,https://www.mubawab.ma/fr/a/7988330/appartement-%C3%A0-vendre-%C3%A0-hay-qods-surface-de-64-m%C2%B2-salon-marocain-s%C3%A9curit%C3%A9
mubawab.ma:native:8006827,uncertain,surface_extreme,recovery_misplaced_notebook,appartement,Casablanca,559.0,6950000.0,12432.92,4.0,3.0,,,https://www.mubawab.ma/fr/a/8006827/grand-appartement-racine-extension
mubawab.ma:native:8007377,probable_error,price_per_m2_above_reference_p99|suspicious_batch_high_price_per_m2,recovery_misplaced_notebook,appartement,Casablanca,57.0,8430000.0,147894.74,2.0,1.0,,,https://www.mubawab.ma/fr/a/8007377/appart-%C3%A0-vendre-%C3%A0-a%C3%AFn-seba%C3%A0-%D8%B4%D9%82%D8%A9-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D8%A8%D8%B9%D9%8A%D9%86-%D8%A7%D9%84%D8%B3%D8%A8%D8%B9
mubawab.ma:native:8009175,uncertain,surface_extreme,recovery_misplaced_notebook,unknown,Bouskoura,620.0,4900000.0,7903.23,3.0,2.0,,,https://www.mubawab.ma/fr/a/8009175/vente-magnifique-rez-de-jardin-avec-piscine-620m2-bouskoura-ville-verte
mubawab.ma:native:8020556,uncertain,price_per_m2_above_reference_p99,recovery_misplaced_notebook,appartement,Casablanca,120.0,7550000.0,62916.67,2.0,2.0,,,https://www.mubawab.ma/fr/a/8020556/appartement-%C3%A0-l-achat-%C3%A0-bernoussi-surface-totale-120-m%C2%B2-terrasse
